idInmueble;urlInmueble;fuenteInfo;tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;fecha;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
158083581;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza-ascensor-amueblado/158083581/d;fotocasa;0;2;1550;4;145;5;tetuan;madrid-capital;06/01/2021;C;True;True;False;No-detallado;False;False;False;3
158126539;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/158126539/d;fotocasa;0;2;1000;1;44;3;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158126047;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-zona-comunitaria-ascensor-amueblado-piscina/158126047/d;fotocasa;0;2;860;2;70;0;tetuan;madrid-capital;06/01/2021;C;True;True;False;No-detallado;True;False;True;2
158065309;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-parking-piscina/158065309/d;fotocasa;0;2;2300;4;160;3;tetuan;madrid-capital;06/01/2021;C;True;False;False;Comunitario;False;True;True;3
157628275;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor/157628275/d;fotocasa;0;2;1300;2;93;6;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;False;False;2
158119002;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado-television-internet/158119002/d;fotocasa;0;2;450;1;30;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;True;False;1
158117638;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/zona-comunitaria-ascensor-amueblado/158117638/d;fotocasa;0;2;550;0;25;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
154109899;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor-patio-piscina-piscina/154109899/d;fotocasa;0;2;1400;2;80;0;tetuan;madrid-capital;06/01/2021;A;True;False;True;Privado;False;True;True;2
158114091;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158114091/d;fotocasa;0;2;700;1;40;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;True;True;False;1
158113834;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor-amueblado/158113834/d;fotocasa;0;2;1100;2;90;2;tetuan;madrid-capital;06/01/2021;C;True;False;True;Privado;False;False;False;2
157286005;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157286005/d;fotocasa;0;2;1900;1;50;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
157285987;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285987/d;fotocasa;0;2;1650;1;45;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112548;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112548/d;fotocasa;0;2;1400;1;50;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112333;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112333/d;fotocasa;0;2;750;1;15;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112330;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112330/d;fotocasa;0;2;900;1;38;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112328;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112328/d;fotocasa;0;2;1000;1;50;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112327;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112327/d;fotocasa;0;2;550;1;9;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112326;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-internet/158112326/d;fotocasa;0;2;800;1;30;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112325;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112325/d;fotocasa;0;2;1100;1;51;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112319;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112319/d;fotocasa;0;2;1000;1;42;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112176;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112176/d;fotocasa;0;2;1639;1;35;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112173;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112173/d;fotocasa;0;2;1982;1;60;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112170;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112170/d;fotocasa;0;2;1771;1;45;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112169;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112169/d;fotocasa;0;2;2167;2;70;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;2
158112167;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112167/d;fotocasa;0;2;1507;1;30;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112115;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112115/d;fotocasa;0;2;1350;1;45;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158112111;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158112111/d;fotocasa;0;2;1550;1;60;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
